soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
土壤-3581,0.7037354,0.7002767,-1,0,0.6860352,0.7010905,-1,0,0.9991911,0,0,0,0,0,0,0,0,0.5081238,0.5637655,0.5485308,0.5445411,0.5953971,0.594194,0.5888443,0.6018848,0.6146362,21.8,5.85,1.3932135,110.9262,179,84,2.007409067
土壤-3582,0.7012939,0.6958008,-1,0,0.6980388,0.6960042,-1,0,0.9993375,0,0,0,0,0,0,0,0,0.5054742,0.5612057,0.546455,0.54226,0.5931299,0.592099,0.5870301,0.6000035,0.61257,21.8,5.85,1.3932135,110.9262,179,84,2.007409067
土壤-3583,0.7043457,0.6901042,-1,0,0.6960042,0.6960042,-1,0,0.9991978,0,0,0,0,0,0,0,0,0.5036254,0.5586773,0.5435092,0.5398866,0.5907541,0.58954,0.5841186,0.5972348,0.6099334,21.8,5.85,1.3932135,110.9262,179,84,2.007409067
土壤-360,0.6995646,0.7010905,-1,0,0.705363,0.6998698,-1,0,0.9990785,0,0,0,0,0,0,0,0,0.6300684,0.6696599,0.6586564,0.6554107,0.6825873,0.6881734,0.67893,0.6894445,0.7002507,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
土壤-3601,0.703125,0.7027181,-1,0,0.6998698,0.6964111,-1,0,0.9991859,0,0,0,0,0,0,0,0,0.6249245,0.6632711,0.6519751,0.6496009,0.6767537,0.6822541,0.6726482,0.6829882,0.693857,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
土壤-3602,0.7027181,0.6960042,-1,0,0.6980388,0.6970215,-1,0,0.9993063,0,0,0,0,0,0,0,0,0.6229512,0.6610252,0.6505122,0.6475023,0.6747008,0.6801783,0.6710445,0.681188,0.6917079,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
土壤-3603,0.7035319,0.6951904,-1,0,0.6976318,0.6974284,-1,0,0.9993306,0,0,0,0,0,0,0,0,0.6263676,0.664757,0.6542166,0.6512825,0.6786518,0.6844864,0.6750385,0.6851771,0.6959559,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
土壤-356,0.6986491,0.6964111,-1,0,0.7004802,0.6947835,-1,0,0.9991185,0,0,0,0,0,0,0,0,0.5572312,0.6107364,0.5967093,0.5925308,0.6383938,0.6402168,0.632856,0.6457102,0.6592153,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
土壤-3561,0.6964111,0.6974284,-1,0,0.7047526,0.6941732,-1,0,0.9992027,0,0,0,0,0,0,0,0,0.5567861,0.6106104,0.5959386,0.5921096,0.6380066,0.6395665,0.6320851,0.6451547,0.658738,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
土壤-3562,0.7006836,0.6972249,-1,0,0.6966146,0.6962077,-1,0,0.9991688,0,0,0,0,0,0,0,0,0.554474,0.6068113,0.5927413,0.5891251,0.6346568,0.6363712,0.6287,0.6414639,0.6549971,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
土壤-3563,0.7051595,0.6992595,-1,0,0.6974284,0.6968181,-1,0,0.9991652,0,0,0,0,0,0,0,0,0.5596356,0.6123427,0.5981519,0.5942713,0.6404367,0.6419029,0.634626,0.6477689,0.6613378,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
土壤-401,0.7027181,0.6989543,-1,0,0.7002767,0.6988525,-1,0,0.999175,0,0,0,0,0,0,0,0,0.495994,0.5478066,0.5357598,0.534267,0.5948534,0.5923195,0.5840575,0.5995388,0.6144511,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
土壤-4011,0.6953939,0.705363,-1,0,0.6972249,0.6972249,-1,0,0.9992257,0,0,0,0,0,0,0,0,0.4939704,0.5465351,0.5339596,0.5320978,0.5922352,0.5892825,0.5814141,0.5972008,0.6119062,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
土壤-4012,0.6964111,0.6951904,-1,0,0.6939697,0.6988525,-1,0,0.9993411,0,0,0,0,0,0,0,0,0.4938928,0.546442,0.5345182,0.5321305,0.5925,0.5905281,0.5819925,0.5970055,0.6119334,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
土壤-4013,0.7010905,0.6958008,-1,0,0.6842041,0.6953939,-1,0,0.9992543,0,0,0,0,0,0,0,0,0.4947473,0.5464109,0.5341674,0.5324763,0.5928217,0.5903558,0.5821372,0.597519,0.612305,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
土壤-359,0.6967163,0.6972249,-1,0,0.7002767,0.6992595,-1,0,0.9992055,0,0,0,0,0,0,0,0,0.4903629,0.5501724,0.534705,0.5308099,0.5896423,0.5862353,0.5804441,0.5951038,0.6086693,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
土壤-3591,0.7039388,0.690918,-1,0,0.7082112,0.6941732,-1,0,0.9993467,0,0,0,0,0,0,0,0,0.4879327,0.5480622,0.5320716,0.5284527,0.5866607,0.5837184,0.5773752,0.5917749,0.6054965,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
土壤-3592,0.6984456,0.700887,-1,0,0.7004802,0.6960042,-1,0,0.9991866,0,0,0,0,0,0,0,0,0.4887966,0.5485764,0.5334449,0.5291079,0.5873681,0.5847048,0.578759,0.5928806,0.6062762,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
土壤-3593,0.6937663,0.6923421,-1,0,0.6974284,0.7006836,-1,0,0.9991959,0,0,0,0,0,0,0,0,0.4898322,0.5500627,0.5339282,0.5303669,0.5888274,0.5859645,0.5795913,0.5940516,0.6078838,21.1,5.25,1.130724,118.1292,162.4,258,1.649673138
土壤-357,0.7054647,0.6995646,-1,0,0.7082112,0.7048543,-1,0,0.9990898,0,0,0,0,0,0,0,0,0.5356103,0.5948699,0.5790741,0.5751663,0.631838,0.6296722,0.6256151,0.6400636,0.6533007,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
土壤-3571,0.6874593,0.6939697,-1,0,0.7094319,0.6958008,-1,0,0.9991161,0,0,0,0,0,0,0,0,0.5352039,0.5939088,0.5775524,0.5744557,0.6313866,0.628652,0.6247429,0.6395231,0.6527783,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
土壤-3572,0.707194,0.6962077,-1,0,0.6966146,0.6947835,-1,0,0.9992779,0,0,0,0,0,0,0,0,0.5329897,0.5912523,0.5756286,0.5723659,0.629392,0.627013,0.6230642,0.6375283,0.6507382,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
土壤-3573,0.6984456,0.7098389,-1,0,0.7037354,0.6960042,-1,0,0.9992812,0,0,0,0,0,0,0,0,0.5377344,0.5946661,0.5794038,0.5761615,0.6338741,0.6314349,0.6272753,0.6416726,0.6548483,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
土壤-363,0.6996663,0.6989543,-1,0,0.6988525,0.6971232,-1,0,0.9991415,0,0,0,0,0,0,0,0,0.5380337,0.5865617,0.5721607,0.5695669,0.6194803,0.6173038,0.6112692,0.6250619,0.6376198,23,6.41,1.938384,119.5698,91.3,40,1.522314924
土壤-3631,0.6973267,0.6964111,-1,0,0.6967163,0.6738281,-1,0,0.9992012,0,0,0,0,0,0,0,0,0.5378666,0.5902703,0.5749084,0.5707256,0.6190271,0.6179003,0.6122375,0.6251563,0.6375223,23,6.41,1.938384,119.5698,91.3,40,1.522314924
土壤-3632,0.6984456,0.6958008,-1,0,0.7116699,0.6931559,-1,0,0.9991237,0,0,0,0,0,0,0,0,0.5366225,0.5886964,0.5728126,0.5693468,0.6178331,0.6163472,0.6103333,0.6236054,0.6361995,23,6.41,1.938384,119.5698,91.3,40,1.522314924
土壤-3633,0.6982422,0.6976318,-1,0,0.7037354,0.6939697,-1,0,0.9992473,0,0,0,0,0,0,0,0,0.535283,0.5867885,0.5719341,0.567796,0.6164643,0.6153338,0.6095802,0.6224535,0.6347234,23,6.41,1.938384,119.5698,91.3,40,1.522314924
土壤-402,0.7015991,0.700887,-1,0,0.6972249,0.7014974,-1,0,0.9991068,0,0,0,0,0,0,0,0,0.5886237,0.6296215,0.6194403,0.6173784,0.6703442,0.6732779,0.6717921,0.682227,0.6943064,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
土壤-4021,0.6972249,0.6982422,-1,0,0.6978353,0.6988525,-1,0,0.9991773,0,0,0,0,0,0,0,0,0.6073908,0.6595353,0.6448551,0.6408268,0.691608,0.6947266,0.6933511,0.7048043,0.717776,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
土壤-4022,0.7045491,0.6964111,-1,0,0.6988525,0.6968181,-1,0,0.9991367,0,0,0,0,0,0,0,0,0.6023213,0.6531135,0.6391708,0.6350805,0.6855399,0.6883407,0.6871358,0.6985347,0.7110984,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
土壤-4023,0.699056,0.7019043,-1,0,0.7100423,0.6968181,-1,0,0.9991399,0,0,0,0,0,0,0,0,0.596196,0.64518,0.6313307,0.6279486,0.6781462,0.6810604,0.6792479,0.6903434,0.7029555,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
土壤-406,0.7010905,0.6987508,-1,0,0.7094319,0.7000732,-1,0,0.9991075,0,0,0,0,0,0,0,0,0.5436808,0.5947054,0.5855603,0.5842769,0.6357525,0.6391278,0.6287833,0.6442391,0.6592007,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
土壤-4061,0.713501,0.6919352,-1,0,0.6994629,0.6982422,-1,0,0.9991652,0,0,0,0,0,0,0,0,0.5415485,0.5924126,0.5828212,0.581807,0.6331244,0.6364298,0.6258233,0.641135,0.6562253,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
土壤-4062,0.7002767,0.6935628,-1,0,0.6994629,0.6972249,-1,0,0.9993131,0,0,0,0,0,0,0,0,0.5472651,0.5979738,0.5884093,0.5873263,0.6390612,0.6418422,0.6315863,0.6474152,0.6624221,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
土壤-4063,0.699056,0.7010905,-1,0,0.6831868,0.7027181,-1,0,0.9991837,0,0,0,0,0,0,0,0,0.5448557,0.595337,0.585426,0.5848084,0.6367838,0.6398273,0.628997,0.6446691,0.6599202,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
土壤-313,0.7018026,0.7032267,-1,0,0.7076009,0.7027181,-1,0,0.9993129,0,0,0,0,0,0,0,0,0.5355247,0.58134,0.5688381,0.5656366,0.6112676,0.6111751,0.5996035,0.6130971,0.6263039,22.3,5.5,0.6542046,141.8991,155,282.5,1.389562329
土壤-3131,0.6986491,0.7000732,-1,0,0.699056,0.6968181,-1,0,0.9992216,0,0,0,0,0,0,0,0,0.535292,0.5837439,0.5705116,0.5667921,0.6116447,0.6116862,0.6003422,0.6141074,0.6272655,22.3,5.5,0.6542046,141.8991,155,282.5,1.389562329
土壤-3132,0.6986491,0.6968181,-1,0,0.703125,0.6994629,-1,0,0.9992017,0,0,0,0,0,0,0,0,0.53623,0.5853387,0.5711579,0.5678827,0.6130411,0.6128592,0.6014867,0.6154519,0.6287243,22.3,5.5,0.6542046,141.8991,155,282.5,1.389562329
土壤-3133,0.7061768,0.699056,-1,0,0.6994629,0.6925456,-1,0,0.9992661,0,0,0,0,0,0,0,0,0.5344692,0.5828954,0.5692745,0.5659216,0.6107633,0.6106569,0.5991663,0.6129502,0.6262063,22.3,5.5,0.6542046,141.8991,155,282.5,1.389562329
土壤-398,0.704244,0.6989543,-1,0,0.7009888,0.6939697,-1,0,0.9991325,0,0,0,0,0,0,0,0,0.5501502,0.602509,0.5889267,0.5853484,0.6269115,0.6305059,0.6206533,0.6339246,0.6471509,14.3,5.04,1.2195666,89.3172,87.9,87.5,1.282829246
土壤-3981,0.6974284,0.6980388,-1,0,0.6972249,0.6982422,-1,0,0.9991127,0,0,0,0,0,0,0,0,0.5725003,0.63162,0.61517,0.6102571,0.6536781,0.6568826,0.6471233,0.6617114,0.6761354,14.3,5.04,1.2195666,89.3172,87.9,87.5,1.282829246
土壤-3982,0.6998698,0.6955974,-1,0,0.6947835,0.7019043,-1,0,0.9991525,0,0,0,0,0,0,0,0,0.5768531,0.6374487,0.6206125,0.6156799,0.6591651,0.6624539,0.6526204,0.6674627,0.6820831,14.3,5.04,1.2195666,89.3172,87.9,87.5,1.282829246
土壤-3983,0.7041423,0.6994629,-1,0,0.7047526,0.6951904,-1,0,0.9991396,0,0,0,0,0,0,0,0,0.5720276,0.6311441,0.6149244,0.6098022,0.6531015,0.6565065,0.6465427,0.6610212,0.6754691,14.3,5.04,1.2195666,89.3172,87.9,87.5,1.282829246
土壤-3061,0.699056,0.6996663,-1,0,0.699056,0.6888835,-1,0,0.9991988,0,0,0,0,0,0,0,0,0.5488571,0.5881346,0.5753397,0.5726717,0.6035373,0.6067164,0.5967469,0.6070111,0.6172951,9.5,4.81,0.8722728,217.89075,147.6,279,1.106610945
土壤-3062,0.7049561,0.6978353,-1,0,0.6976318,0.6866455,-1,0,0.9991084,0,0,0,0,0,0,0,0,0.5516564,0.5902215,0.5784465,0.575224,0.6063047,0.6099612,0.5999649,0.6098391,0.620179,9.5,4.81,0.8722728,217.89075,147.6,279,1.106610945
土壤-3063,0.6978353,0.6986491,-1,0,0.7102458,0.6976318,-1,0,0.9991971,0,0,0,0,0,0,0,0,0.5475706,0.5848478,0.5733383,0.5707518,0.6020364,0.6054221,0.5954873,0.6055489,0.6157536,9.5,4.81,0.8722728,217.89075,147.6,279,1.106610945
土壤-317,0.7004802,0.6974284,-1,0,0.7021077,0.6986491,-1,0,0.9991089,0,0,0,0,0,0,0,0,0.5675324,0.6153684,0.6007785,0.5968153,0.6338701,0.6356225,0.6261936,0.6390696,0.6511434,19.6,6.08,0.8386203,146.58105,218.7,122.5,1.044038709
土壤-3171,0.7043457,0.6972249,-1,0,0.7076009,0.6947835,-1,0,0.9991653,0,0,0,0,0,0,0,0,0.5721402,0.6209673,0.6059263,0.6021439,0.6390783,0.6411388,0.6317512,0.6447144,0.6569508,19.6,6.08,0.8386203,146.58105,218.7,122.5,1.044038709
土壤-3172,0.6978353,0.6982422,-1,0,0.7073975,0.6964111,-1,0,0.9993552,0,0,0,0,0,0,0,0,0.5692375,0.6173471,0.6026943,0.5987934,0.6360193,0.637858,0.6287334,0.641597,0.6536041,19.6,6.08,0.8386203,146.58105,218.7,122.5,1.044038709
土壤-3173,0.6980388,0.6972249,-1,0,0.7033284,0.6945801,-1,0,0.9991938,0,0,0,0,0,0,0,0,0.5685965,0.6158502,0.6015973,0.5978137,0.6354656,0.6377816,0.6281138,0.6407113,0.6528526,19.6,6.08,0.8386203,146.58105,218.7,122.5,1.044038709
土壤-368,0.6999715,0.6999715,-1,0,0.7010905,0.7012939,-1,0,0.999068,0,0,0,0,0,0,0,0,0.584198,0.6198351,0.6084583,0.6045763,0.6384547,0.6378559,0.6267149,0.6384019,0.6500375,28.7,5.55,0.9126558,106.6044,181.8,86,1.000827297
土壤-3681,0.6951904,0.6947835,-1,0,0.6964111,0.668335,-1,0,0.9993246,0,0,0,0,0,0,0,0,0.5778409,0.6109339,0.6000854,0.5972549,0.6313311,0.6307977,0.6195928,0.6310624,0.6423597,28.7,5.55,0.9126558,106.6044,181.8,86,1.000827297
土壤-3682,0.6978353,0.6966146,-1,0,0.7033284,0.6931559,-1,0,0.9991766,0,0,0,0,0,0,0,0,0.5769429,0.6096946,0.599093,0.596058,0.6301187,0.629501,0.6185063,0.6299064,0.6409923,28.7,5.55,0.9126558,106.6044,181.8,86,1.000827297
土壤-3683,0.7000732,0.6968181,-1,0,0.7010905,0.6913249,-1,0,0.9991807,0,0,0,0,0,0,0,0,0.5772204,0.6098947,0.5992066,0.5966072,0.6309142,0.6301607,0.6188578,0.6304483,0.6419107,28.7,5.55,0.9126558,106.6044,181.8,86,1.000827297
土壤-405,0.708313,0.7014974,-1,0,0.7064819,0.6970215,-1,0,0.9991413,0,0,0,0,0,0,0,0,0.5108827,0.5565983,0.5459502,0.5439902,0.593025,0.5939954,0.584437,0.5983043,0.6117537,13.1,5.06,0.9180402,128.2134,182.4,140.5,0.974365817
土壤-4051,0.6953939,0.6992595,-1,0,0.6994629,0.6958008,-3276801,0,0.9991648,0,0,0,0,0,0,0,0,0.5114614,0.5590417,0.5469908,0.5450776,0.5943186,0.5951791,0.5853543,0.599543,0.6133906,13.1,5.06,0.9180402,128.2134,182.4,140.5,0.974365817
土壤-4052,0.7069905,0.6958008,-1,0,0.6984456,0.690511,-1,0,0.9992012,0,0,0,0,0,0,0,0,0.5147948,0.5616133,0.5499884,0.5479958,0.5972168,0.5981685,0.5881383,0.6022371,0.6161203,13.1,5.06,0.9180402,128.2134,182.4,140.5,0.974365817
土壤-4053,0.7047526,0.6962077,-1,0,0.7012939,0.699056,-1,0,0.9993327,0,0,0,0,0,0,0,0,0.512527,0.5586873,0.5472625,0.5452627,0.5946618,0.5953379,0.5855733,0.5996338,0.6131929,13.1,5.06,0.9180402,128.2134,182.4,140.5,0.974365817
土壤-311,0.7068889,0.6981404,-1,0,0.7034302,0.6959025,-1,0,0.9991084,0,0,0,0,0,0,0,0,0.5721508,0.6088761,0.6019799,0.6007764,0.6320993,0.6375079,0.6285512,0.6382408,0.6484843,15.1,4.67,0.848043,86.436,228.5,153.5,0.920437881
土壤-3111,0.7212321,0.6958008,-1,0,0.6978353,0.6947835,-1,0,0.9992512,0,0,0,0,0,0,0,0,0.5710626,0.6087618,0.6010071,0.6004988,0.6317576,0.6373173,0.6277139,0.6375763,0.6483324,15.1,4.67,0.848043,86.436,228.5,153.5,0.920437881
土壤-3112,0.6998698,0.6943766,-1,0,0.7006836,0.6976318,-1,0,0.9991825,0,0,0,0,0,0,0,0,0.5711382,0.6081347,0.6006491,0.6001417,0.6314424,0.6368537,0.6274738,0.6373097,0.6478346,15.1,4.67,0.848043,86.436,228.5,153.5,0.920437881
土壤-3113,0.7039388,0.6935628,-1,0,0.7055664,0.6982422,-1,0,0.9992114,0,0,0,0,0,0,0,0,0.570564,0.6071722,0.600445,0.5995005,0.6309724,0.6367301,0.6272776,0.6368763,0.6474224,15.1,4.67,0.848043,86.436,228.5,153.5,0.920437881
土壤-315,0.703125,0.6960042,-1,0,0.699056,0.7014974,-1,0,0.9991408,0,0,0,0,0,0,0,0,0.5965623,0.6325977,0.6195905,0.6152391,0.6381553,0.6434874,0.6345896,0.6434451,0.6523233,22,5.87,1.5197469,191.23965,176.2,59.25,0.588358805
土壤-3151,0.6966146,0.6945801,-1,0,0.6986491,0.692749,-1,0,0.9991664,0,0,0,0,0,0,0,0,0.6023892,0.6381857,0.6247063,0.6210029,0.644345,0.6496522,0.640489,0.6495009,0.6587252,22,5.87,1.5197469,191.23965,176.2,59.25,0.588358805
土壤-3152,0.7002767,0.6984456,-1,0,0.7039388,0.6974284,-1,0,0.9991233,0,0,0,0,0,0,0,0,0.5973583,0.6319194,0.6196285,0.6154217,0.6387666,0.644597,0.6354105,0.6437328,0.6527282,22,5.87,1.5197469,191.23965,176.2,59.25,0.588358805
土壤-3153,0.6970215,0.6874593,-1,0,0.6986491,0.6994629,-1,0,0.9991187,0,0,0,0,0,0,0,0,0.5988823,0.6339046,0.6211051,0.61726,0.6408375,0.6461593,0.6372111,0.6460217,0.6549922,22,5.87,1.5197469,191.23965,176.2,59.25,0.588358805
土壤-320,0.6994629,0.6982422,-1,0,0.6976318,0.6738281,-1,0,0.9993346,0,0,0,0,0,0,0,0,0.524575,0.5664254,0.5542789,0.553119,0.5970549,0.5972922,0.5876834,0.6022684,0.6137204,23.9,4.06,1.2599496,106.24425,243,134.5,0.567914069
土壤-3201,0.7057698,0.6776937,-1,0,0.7181804,0.6960042,-1,0,0.9991562,0,0,0,0,0,0,0,0,0.5289086,0.5757804,0.5620501,0.5596644,0.6030332,0.6044481,0.5947967,0.608784,0.6204224,23.9,4.06,1.2599496,106.24425,243,134.5,0.567914069
土壤-3202,0.6970215,0.6945801,-1,0,0.6964111,0.6945801,-1,0,0.9993295,0,0,0,0,0,0,0,0,0.5311924,0.5781987,0.5630277,0.5613738,0.6048779,0.606028,0.595742,0.610151,0.6222924,23.9,4.06,1.2599496,106.24425,243,134.5,0.567914069
土壤-3203,0.6972249,0.6966146,-1,0,0.6970215,0.6955974,-1,0,0.9991271,0,0,0,0,0,0,0,0,0.5347875,0.5831186,0.5679417,0.5663049,0.6100301,0.6104807,0.6018247,0.6167835,0.6285733,23.9,4.06,1.2599496,106.24425,243,134.5,0.567914069
